State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK,1940,1490,1407,72.53%,1398,542,0,211,709,1210,21,14,145,1398,1036,1004,71.82%,165,39,119,457,926,15,0,76,542,454,403,74.35%,92,252,284,6,14,69,0,0,0,0.00%,0,0,0,0,0,0,215,175,175,81.40%,50,174,41,0,32,0,948,948,517,54.54%,75,274,674,0,400,0,816,71,71,71,100.00%,0,0,71,0,0,0
AL,3188,2673,1633,51.22%,2114,1040,34,350,1121,2008,59,256,141,2114,1758,1165,55.11%,75,62,227,755,1317,42,141,93,1040,881,434,41.73%,123,366,657,17,115,48,34,34,34,100.00%,0,0,34,0,0,0,309,309,309,100.00%,33,104,205,0,68,19,3317,3317,2144,64.64%,286,891,2426,0,1313,4,977,0,0,0,0.00%,0,0,0,0,0,0
AR,2362,1667,685,29.00%,1738,624,0,258,930,1394,38,118,99,1738,1110,469,26.99%,0,120,179,715,993,30,47,48,624,557,216,34.62%,79,215,401,8,71,51,0,0,0,0.00%,0,0,0,0,0,0,174,174,174,100.00%,40,86,88,0,55,0,1148,1148,587,51.13%,248,482,666,0,545,0,26,8,8,8,100.00%,0,0,8,0,0,0
AZ,6683,5593,4612,69.01%,4058,2588,37,950,3097,3535,51,509,234,4058,3253,2942,72.50%,139,53,467,1551,2459,48,106,62,2588,2303,1633,63.10%,483,1546,1039,3,381,172,37,37,37,100.00%,0,0,37,0,22,0,2522,2465,2463,97.66%,456,1744,778,0,295,1,9255,9255,7381,79.75%,854,2599,6656,0,2504,73,2545,1086,1086,1086,100.00%,259,901,185,0,29,10
CA,43548,39345,28119,64.57%,27246,16004,298,6238,20278,22945,325,3265,3013,27246,24984,17615,64.65%,5722,713,3707,12332,14637,277,748,897,16004,14063,10225,63.89%,2531,7946,8010,48,2309,2116,298,298,279,93.62%,0,0,298,0,208,0,17580,16675,16305,92.75%,3879,12820,4760,0,2327,346,63163,62652,45632,72.24%,6549,19918,43221,24,20786,568,30280,5062,5034,3458,68.31%,612,1774,3288,0,478,34
CO,7532,6706,3643,48.37%,4425,3082,25,1675,3337,4040,155,384,295,4425,3778,1447,32.70%,678,533,806,1449,2957,19,40,101,3082,2928,2196,71.25%,869,1888,1058,136,344,194,25,0,0,0.00%,0,0,25,0,0,0,1643,1605,1503,91.48%,472,1054,584,5,284,33,4840,4840,3289,67.95%,543,1142,3665,33,2191,75,2029,304,304,304,100.00%,33,115,189,0,50,0
CT,3417,3099,3004,87.91%,2835,582,0,563,1831,1566,20,195,131,2835,2586,2536,89.45%,325,112,462,1554,1261,20,22,44,582,513,468,80.41%,101,277,305,0,173,87,0,0,0,0.00%,0,0,0,0,0,0,968,968,945,97.62%,194,562,406,0,175,1,7059,6981,5623,79.66%,766,2243,4816,0,1089,70,5084,0,0,0,0.00%,0,0,0,0,0,0
DC,6721,6326,5952,88.56%,5268,1453,0,1054,3420,3286,15,187,561,5268,5080,4938,93.74%,771,0,859,2869,2384,15,0,149,1453,1246,1014,69.79%,195,551,902,0,187,412,0,0,0,0.00%,0,0,0,0,0,0,3570,3570,3417,95.71%,1275,3490,80,0,131,0,7950,7914,6241,78.50%,1353,4741,3209,0,2091,143,7947,2009,2009,2009,100.00%,672,1826,183,0,19,0
DE,1122,1043,594,52.94%,629,488,5,174,459,659,4,69,23,629,553,421,66.93%,18,171,87,245,380,4,22,4,488,485,168,34.43%,87,214,274,0,42,19,5,5,5,100.00%,0,0,5,0,5,0,155,155,155,100.00%,34,112,43,0,29,0,850,850,683,80.35%,64,234,616,0,167,11,656,92,92,92,100.00%,0,0,92,0,15,0
FL,19554,16911,13929,71.23%,12424,6948,182,2211,8312,10817,425,1255,1091,12424,10344,8874,71.43%,327,1296,1440,5616,6468,340,266,580,6948,6385,4873,70.14%,771,2696,4167,85,895,511,182,182,182,100.00%,0,0,182,0,94,0,7097,7000,6961,98.08%,1608,5479,1618,0,1199,272,18628,18593,14927,80.13%,2269,6165,12463,0,8393,141,8314,1925,1925,1239,64.36%,176,542,1383,0,137,20
